Season,Name,Invention_1,Mystery_1,Immunity_1,Elimination_1,Invention_2,Mystery_2,Immunity_2,Elimination_2,Invention_3,Mystery_3,Immunity_3,Elimination_3,Invention_4,Mystery_4,Immunity_4,Elimination_4,Invention_5,Mystery_5,Immunity_5,Elimination_5,Invention_6,Mystery_6,Immunity_6,Elimination_6,Invention_7,Mystery_7,Immunity_7,Elimination_7,Invention_8,Mystery_8,Immunity_8,Elimination_8,Invention_9,Mystery_9,Immunity_9,Elimination_9,Invention_10,Mystery_10,Immunity_10,Elimination_10,Invention_11,Mystery_11,Immunity_11,Elimination_11,Invention_12,Mystery_12,Immunity_12,Elimination_12,Invention_13,Mystery_13,Immunity_13,Elimination_13,Invention_14,Mystery_14,Immunity_14,Elimination_14,Invention_15,Mystery_15,Immunity_15,Elimination_15,Invention_16,Mystery_16,Immunity_16,Elimination_16,Invention_17,Mystery_17,Immunity_17,Elimination_17,Label
1,Julie,IN,None,None,Team Win,Btm,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,Btm,Win,None,Team Win,Btm,IN,None,Team Win,IN,IN,None,Win,None,None,None,Btm,Btm,IN,None,Top,Win,IN,None,Top,Btm,IN,None,Btm,None,None,None,Btm,None,None,None,IN,None,None,None,Btm,None,None,None,Win,None,None,None,None,None,None,None,None,Winner
1,Poh,IN,None,None,Team Lose,IN,IN,None,Team Win,IN,Win,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Lose,Btm,IN,None,Team Lose,Btm,Win,None,Btm,None,None,None,Elim,Elim,IN,None,Top,Btm,Win,None,Top,Btm,IN,None,Win,None,None,None,Win,None,None,None,Btm,None,None,None,Win,None,None,None,Lose,None,None,None,None,None,None,None,None,Runner-Up
1,Chris,IN,None,None,Team Win,IN,Win,None,Team Win,IN,IN,None,Team Lose,Win,IN,None,Team Win,IN,IN,None,Team Win,Btm,Win,None,Team Win,IN,IN,None,Win,None,None,None,Immune,IN,IN,None,Btm,Btm,IN,None,Btm,Win,IN,None,IN,None,None,None,Btm,None,None,None,Win,None,None,None,Btm,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Top 5
1,Justine,IN,None,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,Win,IN,None,Team Win,Win,IN,None,Team Win,Win,IN,None,Win,None,None,None,Btm,Elim,IN,None,Win,Win,IN,None,Win,IN,IN,None,IN,None,None,None,IN,None,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Top 5
1,Julia,IN,None,None,Team Lose,IN,IN,None,Team Lose,Win,IN,None,Immune,Immune,Immune,None,Immune,Immune,Immune,None,Immune,Immune,Immune,None,Immune,Immune,Immune,None,Immune,None,None,None,Immune,Immune,Immune,None,Immune,Immune,Immune,None,Immune,IN,Win,None,Btm,None,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Top 5
1,Lucas,IN,None,None,Team Lose,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,Win,Immune,None,Immune,Immune,Immune,None,Immune,None,None,None,Immune,Immune,Immune,None,Immune,Immune,Immune,None,Immune,Btm,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Andre,IN,None,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Btm,Btm,IN,None,Win,None,None,None,Win,Win,Win,None,IN,Btm,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Sam,Win,None,None,Team Lose,IN,IN,None,Team Lose,Btm,IN,None,Team Win,Btm,IN,None,Team Lose,IN,IN,None,Btm,IN,IN,None,Team Win,IN,IN,None,Btm,None,None,None,Win,Btm,IN,None,Btm,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Tom,IN,None,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,Btm,Win,None,Team Lose,IN,IN,None,Team Win,Btm,IN,None,Elim,Elim,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Geni,IN,None,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Lose,Elim,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Sandra,IN,None,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Btm,Btm,IN,None,Team Win,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Trevor,IN,None,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,Btm,IN,None,Team Lose,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Aaron,Btm,None,None,Team Win,Btm,IN,None,Team Lose,IN,IN,None,Btm,IN,IN,None,Team Win,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Kate,IN,None,None,Team Lose,IN,IN,None,Team Lose,Btm,IN,None,Team Win,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Josh,IN,None,None,Team Lose,IN,IN,None,Team Lose,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Michelle,IN,None,None,Team Lose,IN,IN,None,Btm,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Brent,IN,None,None,Team Lose,Win,IN,None,Btm,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Linda,IN,None,None,Team Win,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Nic,IN,None,None,Team Lose,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
1,Melissa,Btm,None,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
2,Adam,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,Win,IN,Win,Team Win,IN,IN,None,Team Win,IN,IN,None,Btm,Team Lose,IN,None,None,Win,IN,Lose,Immune,IN,IN,None,IN,Btm,None,None,IN,None,None,None,IN,None,None,None,IN,None,None,None,Win,None,None,None,Win,Winner
2,Callum,IN,Win,None,Team Lose,Win,IN,Lose,Team Win,IN,IN,None,Team Win,IN,IN,None,Btm,IN,IN,None,Team Lose,IN,IN,None,Team Lose,Btm,IN,None,Team Win,Btm,IN,None,Team Win,Win,IN,None,IN,Team Lose,IN,None,None,IN,IN,None,Team Win,IN,IN,None,IN,Btm,None,None,Btm,None,None,None,Win,None,None,None,IN,None,None,None,Btm,None,None,None,Lose,Runner-Up
2,Claire,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,Win,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,IN,Win,Win,None,None,Win,IN,Lose,Team Win,Win,Win,Lose,Win,Btm,None,None,IN,None,None,None,Btm,None,None,None,Btm,None,None,None,Btm,Elim,Elim,Elim,Elim,Top 5
2,Jimmy,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,Btm,IN,None,Btm,Elim,None,None,Elim,Elim,None,None,Elim,Elim,IN,Elim,Elim,Elim,Elim,None,Elim,Btm,IN,None,None,IN,IN,None,Team Win,Btm,IN,None,Btm,Win,None,None,Win,None,None,None,IN,None,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Top 5
2,Courtney,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Btm,Elim,None,None,Elim,Elim,None,None,Elim,Elim,None,None,Elim,Elim,None,None,Elim,Elim,IN,Elim,Elim,Elim,Elim,None,Elim,Win,IN,None,None,IN,IN,None,Team Win,Btm,IN,None,IN,Win,None,None,Btm,None,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Top 5
2,Alvin,Win,IN,Lose,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Lose,Btm,IN,None,Team Win,IN,IN,None,Team Win,Top,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Lose,IN,IN,None,Btm,Win,IN,None,None,Btm,Win,None,Team Win,IN,IN,None,Btm,Win,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Aaron,IN,IN,None,Team Lose,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,Win,IN,Lose,Team Lose,Win,IN,Lose,Team Lose,IN,IN,None,Team Win,IN,IN,None,IN,Btm,IN,Lose,None,Btm,IN,None,Btm,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Jonathan,IN,IN,None,Btm,IN,IN,None,Btm,Win,IN,Lose,Team Win,Win,IN,Lose,Btm,IN,IN,None,Team Lose,Top,IN,None,Team Lose,IN,IN,None,Btm,Win,IN,Lose,Team Lose,IN,IN,None,Btm,Win,IN,None,None,IN,IN,None,Team Lose,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Marion,IN,IN,None,Team Win,IN,Win,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,Win,IN,Win,Immune,Top,Win,None,Immune,IN,IN,None,Team Win,IN,Win,None,Team Lose,IN,Win,Lose,IN,Win,IN,None,None,Btm,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Peter,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,Btm,IN,None,Team Win,IN,IN,None,Team Win,Elim,IN,None,Elim,Elim,IN,None,Elim,Elim,Elim,None,Elim,Team Lose,None,None,None,Btm,None,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Joanne,IN,Win,None,Team Win,IN,IN,None,Team Win,Btm,IN,None,Team Win,IN,Win,None,Team Win,IN,IN,None,Team Lose,Top,IN,None,Btm,Btm,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Matthew,IN,Win,None,Team Lose,IN,IN,None,Team Win,Btm,IN,None,Team Win,Win,IN,Lose,Team Win,IN,IN,None,Btm,Btm,IN,None,Team Lose,IN,IN,None,Team Win,Btm,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Sharnee,IN,IN,None,Team Lose,IN,IN,None,Team Lose,IN,IN,None,Btm,Win,IN,Lose,Team Win,IN,IN,None,Team Win,Top,IN,None,Team Win,IN,IN,None,Team Lose,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Skye,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,Win,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,Btm,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Jake,IN,IN,None,Team Lose,IN,IN,None,Team Lose,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Win,Btm,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Fiona,IN,Win,None,Team Lose,Btm,IN,None,Team Win,IN,IN,None,Team Win,Btm,IN,None,Team Win,IN,Win,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Carrie,IN,IN,None,Team Win,Btm,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Btm,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Philip,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Daniel,IN,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Btm,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Dominic,IN,IN,None,Team Lose,IN,IN,None,Team Lose,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Adele,IN,IN,None,Team Win,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Kate,IN,IN,None,Team Win,Btm,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
2,Devon,IN,IN,None,Btm,Elim,Elim,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim
3,Kate,IN,None,None,Team Lose,IN,None,None,Team Win,IN,None,None,Team Win,Team Lose,None,None,IN,IN,None,None,Team Win,Win,None,Lose,Team Win,IN,None,None,Team Win,IN,None,None,Team Win,IN,None,None,Btm,IN,None,None,Btm,Btm,None,None,Team Lose,IN,None,None,IN,Win,None,Lose,None,IN,None,None,Win,None,None,None,Btm,None,None,None,Win,None,None,None,None,Winner
3,Michael,IN,None,None,Team Lose,IN,None,None,Team Lose,IN,None,None,Team Win,Win,None,None,IN,IN,None,None,Btm,Btm,None,None,Team Lose,Btm,None,None,Team Lose,IN,None,None,Btm,IN,None,None,Team Lose,Win,None,Lose,Btm,IN,None,None,Btm,Win,None,Lose,IN,IN,None,Lose,None,Win,None,None,Btm,None,None,None,Win,None,None,None,Lose,None,None,None,None,Runner-Up
3,Alana,IN,None,None,Team Lose,IN,None,None,Team Win,IN,None,None,Team Win,Team Lose,None,None,Top,IN,None,None,Team Lose,IN,None,None,Team Win,IN,None,None,Btm,IN,None,None,Team Win,IN,None,None,Team Win,IN,None,None,Win,IN,None,None,Team Win,IN,None,None,Win,Btm,None,None,None,IN,None,None,Win,None,None,None,Btm,Elim,Elim,Elim,Elim,None,None,None,None,Top 5
3,Dani,IN,None,None,Team Win,IN,None,None,Team Win,IN,None,None,Team Lose,Win,None,None,IN,Btm,None,None,Team Lose,IN,None,None,Team Lose,IN,None,None,Team Lose,IN,None,None,Team Win,Win,None,IN,Immune,Btm,None,None,Btm,Win,None,Win,Team Win,IN,None,None,IN,Immune,None,None,None,IN,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,Top 5
3,Ellie,IN,None,None,Team Lose,Btm,None,None,Team Win,Btm,None,None,Team Win,Win,None,None,IN,Btm,None,None,Team Lose,IN,None,None,Team Lose,Btm,None,None,Team Win,Btm,None,None,Team Win,IN,None,None,Team Win,IN,None,Win,Win,Immune,None,None,Team Win,IN,None,None,IN,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,Top 5
3,Hayden,Win,None,Win,Team Lose,IN,None,None,Team Lose,IN,None,None,Team Lose,Team Lose,None,None,IN,IN,None,None,Team Lose,IN,None,None,Team Win,Win,None,Lose,Immune,IN,None,None,Immune,Btm,None,None,Team Lose,IN,None,None,Btm,IN,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,Elim
